"code","description_nl","name_en","name"
"01199","Teelt van andere eenjarige gewassen, n.e.g.",Cultivation of anual crops,Agriculture
"01309",Overige plantenvermeerdering,Other agriculture,Agriculture
"01410",Fokken en houden van melkvee,Cattle breeding,Agriculture
"01430",Fokken en houden van paarden en andere paardachtigen,Horse breeding,Agriculture
"01500",Gemengd landbouwbedrijf,Mixed Farming,Agriculture
"01620",Ondersteunende activiteiten in verband met de veeteelt,Supporting services or goods for agriculture,Agriculture
"01700","Jacht, zetten van vallen en diensten in verband met deze activiteiten",Hunting,Agriculture
"02100",Bosbouw en bosbouwactiviteiten,Other agriculture,Agriculture
"02200",Exploitatie van bossen,Other agriculture,Agriculture
"02300",Verzamelen van in het wild groeiende producten met uitzondering van hout,Other agriculture,Agriculture
"02400",Ondersteunende diensten in verband met de bosbouw,Other agriculture,Agriculture
"03210",Mariene aquacultuur,Other agriculture,Agriculture
"03220",Aquacultuur in zoet water,Other agriculture,Agriculture
"05100",Winning van steenkool,Mining of raw materials for chemistry & petrol,Chemistry & petrol
"05200",Winning van bruinkool,Mining of raw materials for chemistry & petrol,Chemistry & petrol
"06100",Winning van aardolie,Mining of raw materials for chemistry & petrol,Chemistry & petrol
"06200",Winning van aardgas,Mining of raw materials for chemistry & petrol,Chemistry & petrol
"07100",Winning van ijzererts,Mining of metals,Metallurgy
"07210",Winning van uranium- en thoriumerts,Mining of metals,Metallurgy
"07290",Winning van andere non-ferrometaalertsen,Mining of metals,Metallurgy
"08123",Winning van klei en kaolien,Mining & production of construction material,Construction
"08990","Overige winning van delfstoffen, n.e.g.",Mining of metals,Metallurgy
"09100",Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning,Mining of raw materials for chemistry & petrol,Chemistry & petrol
RIZIV-20,Apotheker,Pharmacies,Pharmaceutics
"86951",Activiteiten op het gebied van kinesitherapie,Physiotherapists,Healthcare
RIZIV-10-S32,Acute geneeskunde,Specialist Medical Practice,Healthcare
RIZIV-68,Apotheker-bioloog,Other pharma,Pharmaceutics
"43410",Dakwerkzaamheden,Roofers,Construction
RIZIV-10-S01,Anesthesist,Specialist Medical Practice,Healthcare
RIZIV-10-S25,Klinisch bioloog,Specialist Medical Practice,Healthcare
RIZIV-10-S05,Plastisch chirurg,Specialist Medical Practice,Healthcare
"43213",Installatie van duurzame elektrische installaties,Renewable energy,Construction
RIZIV-10-S19,Cardioloog,Specialist Medical Practice,Healthcare
RIZIV-10-S08,Neus-keel-oorarts,Specialist Medical Practice,Healthcare
"43222","Installatie van verwarming, klimaatregeling, koeling en ventilatie  aangedreven door elektriciteit",Plumbers,Construction
RIZIV-10-S12,Dermatoloog,Specialist Medical Practice,Healthcare
RIZIV-10-S18,Pediater,Specialist Medical Practice,Healthcare
"41001",Algemene bouw van residentiële gebouwen,Ground works and shell construction,Construction
RIZIV-10-S24,Revalidatiearts - fysieke geneeskunde,Specialist Medical Practice,Healthcare
RIZIV-10-S31,Klinisch geneticus,Specialist Medical Practice,Healthcare
RIZIV-10-S16,Gastro-endoloog,Specialist Medical Practice,Healthcare
RIZIV-10-S13,Oncoloog,Specialist Medical Practice,Healthcare
RIZIV-10-S15,Pneumoloog,Specialist Medical Practice,Healthcare
RIZIV-10-S04,Geriater,Specialist Medical Practice,Healthcare
RIZIV-10-S06,Gynaecoloog,Specialist Medical Practice,Healthcare
RIZIV-10-S22,Psychiater,Specialist Medical Practice,Healthcare
RIZIV-10-S02,Heelkundige - chirurg,Specialist Medical Practice,Healthcare
RIZIV-10-S14,Inwendig geneeskundige,Specialist Medical Practice,Healthcare
RIZIV-10-S03,Neurochirurg,Specialist Medical Practice,Healthcare
RIZIV-10-S21,Neuroloog,Specialist Medical Practice,Healthcare
"01120",Teelt van rijst,Cultivation of anual crops,Agriculture
RIZIV-10-S20,Neuropsychiater,Specialist Medical Practice,Healthcare
RIZIV-10-S26,Patholoog,Specialist Medical Practice,Healthcare
RIZIV-10-S29,Nucleair geneeskundige,Specialist Medical Practice,Healthcare
RIZIV-10-S07,Oftalmoloog - oogarts,Specialist Medical Practice,Healthcare
RIZIV-10-S10,Orthopedist,Specialist Medical Practice,Healthcare
RIZIV-10-S28,Radiotherapist,Specialist Medical Practice,Healthcare
RIZIV-30-T07-gr,Orthodontenpraktijk,Orthodontists,Healthcare
RIZIV-30-T01,Tandarts,Dental Practices,Healthcare
"01140",Teelt van suikerriet,Cultivation of anual crops,Agriculture
RIZIV-10-S23,Reumatoloog,Specialist Medical Practice,Healthcare
RIZIV-66,Opticien,Optician,Healthcare
"01290",Teelt van andere meerjarige gewassen,Other agriculture,Agriculture
RIZIV-10-S2,Radioloog,Specialist Medical Practice,Healthcare
"08920",Winning van turf,Mining of raw materials for chemistry & petrol,Chemistry & petrol
RIZIV-10-S11,Stomatoloog,Specialist Medical Practice,Healthcare
RIZIV-30-T06-gr,Parodontenpraktijk,Periodonts,Healthcare
RIZIV-10-S30,Urgentiearts,Specialist Medical Practice,Healthcare
